zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone
44216,40.93913,-81.58506,Clinton,OH,Ohio,TRUE,,9540,156.6,39153,Summit,"{'39151':6.41,'39153':93.59}",Summit|Stark,39153|39151,FALSE,FALSE,America/New_York
44217,40.95518,-81.91161,Creston,OH,Ohio,TRUE,,3997,55.4,39169,Wayne,"{'39103':7.56,'39169':92.44}",Wayne|Medina,39169|39103,FALSE,FALSE,America/New_York
44221,41.13962,-81.47656,Cuyahoga Falls,OH,Ohio,TRUE,,29154,1757.7,39153,Summit,{'39153':100},Summit,39153,FALSE,FALSE,America/New_York
44223,41.17121,-81.53122,Cuyahoga Falls,OH,Ohio,TRUE,,17722,468,39153,Summit,{'39153':100},Summit,39153,FALSE,FALSE,America/New_York
44224,41.17668,-81.43881,Stow,OH,Ohio,TRUE,,39564,750.7,39153,Summit,"{'39133':0.1,'39153':99.9}",Summit|Portage,39153|39133,FALSE,FALSE,America/New_York
44230,40.96329,-81.68998,Doylestown,OH,Ohio,TRUE,,8549,185.1,39169,Wayne,"{'39103':1.91,'39169':98.09}",Wayne|Medina,39169|39103,FALSE,FALSE,America/New_York
44231,41.30653,-81.0724,Garrettsville,OH,Ohio,TRUE,,8777,65.3,39133,Portage,"{'39055':10.38,'39133':89.62}",Portage|Geauga,39133|39055,FALSE,FALSE,America/New_York
44233,41.23941,-81.73512,Hinckley,OH,Ohio,TRUE,,7927,110.6,39103,Medina,{'39103':100},Medina,39103,FALSE,FALSE,America/New_York
44234,41.33497,-81.15756,Hiram,OH,Ohio,TRUE,,4177,65.4,39133,Portage,"{'39055':26.34,'39133':73.66}",Portage|Geauga,39133|39055,FALSE,FALSE,America/New_York
44235,41.03146,-82.12449,Homerville,OH,Ohio,TRUE,,1916,28.1,39103,Medina,"{'39005':2.25,'39103':97.75}",Medina|Ashland,39103|39005,FALSE,FALSE,America/New_York
44236,41.24769,-81.45094,Hudson,OH,Ohio,TRUE,,25518,286.7,39153,Summit,"{'39133':0.68,'39153':99.32}",Summit|Portage,39153|39133,FALSE,FALSE,America/New_York
44240,41.13302,-81.34149,Kent,OH,Ohio,TRUE,,39536,364,39133,Portage,"{'39133':99.38,'39153':0.62}",Portage|Summit,39133|39153,FALSE,FALSE,America/New_York
44241,41.23942,-81.34721,Streetsboro,OH,Ohio,TRUE,,16638,294.9,39133,Portage,{'39133':100},Portage,39133,FALSE,FALSE,America/New_York
44243,41.14803,-81.34136,Kent,OH,Ohio,TRUE,,4721,4517.9,39133,Portage,{'39133':100},Portage,39133,FALSE,FALSE,America/New_York
44250,41.02108,-81.43738,Lakemore,OH,Ohio,TRUE,,1110,1082.6,39153,Summit,{'39153':100},Summit,39153,FALSE,FALSE,America/New_York
44251,41.02914,-81.92738,Westfield Center,OH,Ohio,TRUE,,922,226.7,39103,Medina,{'39103':100},Medina,39103,FALSE,FALSE,America/New_York
44253,41.16574,-82.03319,Litchfield,OH,Ohio,TRUE,,3212,50.4,39103,Medina,"{'39093':6.37,'39103':93.63}",Medina|Lorain,39103|39093,FALSE,FALSE,America/New_York
44254,41.04413,-82.01481,Lodi,OH,Ohio,TRUE,,4960,71,39103,Medina,{'39103':100},Medina,39103,FALSE,FALSE,America/New_York
44255,41.28651,-81.22973,Mantua,OH,Ohio,TRUE,,8223,73.4,39133,Portage,{'39133':100},Portage,39133,FALSE,FALSE,America/New_York
44256,41.1401,-81.85903,Medina,OH,Ohio,TRUE,,62916,179.8,39103,Medina,"{'39093':0.1,'39103':99.83,'39153':0.08}",Medina|Lorain|Summit,39103|39093|39153,FALSE,FALSE,America/New_York
44260,41.03677,-81.34084,Mogadore,OH,Ohio,TRUE,,13166,156.9,39133,Portage,"{'39133':71.46,'39151':7.04,'39153':21.49}",Portage|Stark|Summit,39133|39151|39153,FALSE,FALSE,America/New_York
44262,41.14048,-81.43726,Munroe Falls,OH,Ohio,TRUE,,5049,841.2,39153,Summit,{'39153':100},Summit,39153,FALSE,FALSE,America/New_York
44264,41.22824,-81.54253,Peninsula,OH,Ohio,TRUE,,3073,41.9,39153,Summit,{'39153':100},Summit,39153,FALSE,FALSE,America/New_York
44265,41.03572,-81.2531,Randolph,OH,Ohio,TRUE,,0,124.7,39133,Portage,{'39133':100},Portage,39133,FALSE,FALSE,America/New_York
44266,41.16674,-81.20256,Ravenna,OH,Ohio,TRUE,,33894,141.2,39133,Portage,{'39133':100},Portage,39133,FALSE,FALSE,America/New_York
44270,40.96054,-81.77807,Rittman,OH,Ohio,TRUE,,8800,164.5,39169,Wayne,"{'39103':7.36,'39169':92.64}",Wayne|Medina,39169|39103,FALSE,FALSE,America/New_York
44272,41.08799,-81.18335,Rootstown,OH,Ohio,TRUE,,5176,89.7,39133,Portage,{'39133':100},Portage,39133,FALSE,FALSE,America/New_York
44273,41.02751,-81.87623,Seville,OH,Ohio,TRUE,,7172,66.9,39103,Medina,"{'39103':98.88,'39169':1.12}",Medina|Wayne,39103|39169,FALSE,FALSE,America/New_York
44274,41.09835,-81.73266,Sharon Center,OH,Ohio,TRUE,,246,200.9,39103,Medina,{'39103':100},Medina,39103,FALSE,FALSE,America/New_York
44275,41.10151,-82.09935,Spencer,OH,Ohio,TRUE,,3280,35.2,39103,Medina,"{'39093':2.27,'39103':97.73}",Medina|Lorain,39103|39093,FALSE,FALSE,America/New_York
44276,40.93615,-81.8362,Sterling,OH,Ohio,TRUE,,1795,38.9,39169,Wayne,{'39169':100},Wayne,39169,FALSE,FALSE,America/New_York
44278,41.10158,-81.42166,Tallmadge,OH,Ohio,TRUE,,17951,465,39153,Summit,"{'39133':2.7,'39153':97.3}",Summit|Portage,39153|39133,FALSE,FALSE,America/New_York
44280,41.23897,-81.9238,Valley City,OH,Ohio,TRUE,,4641,71.8,39103,Medina,"{'39093':2.02,'39103':97.98}",Medina|Lorain,39103|39093,FALSE,FALSE,America/New_York
44281,41.05858,-81.73835,Wadsworth,OH,Ohio,TRUE,,32161,242.2,39103,Medina,"{'39103':99.55,'39153':0.45}",Medina|Summit,39103|39153,FALSE,FALSE,America/New_York
44285,41.15973,-81.07162,Wayland,OH,Ohio,TRUE,,25,237.1,39133,Portage,{'39133':100},Portage,39133,FALSE,FALSE,America/New_York
44286,41.23688,-81.64063,Richfield,OH,Ohio,TRUE,,6193,98.7,39153,Summit,{'39153':100},Summit,39153,FALSE,FALSE,America/New_York
44287,40.93908,-82.10111,West Salem,OH,Ohio,TRUE,,7688,43.7,39169,Wayne,"{'39005':35.03,'39103':4.88,'39169':60.09}",Wayne|Medina|Ashland,39169|39103|39005,FALSE,FALSE,America/New_York
44288,41.23861,-81.08434,Windham,OH,Ohio,TRUE,,3521,96.9,39133,Portage,{'39133':100},Portage,39133,FALSE,FALSE,America/New_York
44301,41.04386,-81.5245,Akron,OH,Ohio,TRUE,,15060,1675.9,39153,Summit,{'39153':100},Summit,39153,FALSE,FALSE,America/New_York
44302,41.08955,-81.53883,Akron,OH,Ohio,TRUE,,5127,2271.9,39153,Summit,{'39153':100},Summit,39153,FALSE,FALSE,America/New_York
44303,41.10467,-81.53686,Akron,OH,Ohio,TRUE,,7766,1288,39153,Summit,{'39153':100},Summit,39153,FALSE,FALSE,America/New_York
44304,41.08306,-81.50782,Akron,OH,Ohio,TRUE,,5028,1515,39153,Summit,{'39153':100},Summit,39153,FALSE,FALSE,America/New_York
44305,41.07587,-81.4614,Akron,OH,Ohio,TRUE,,22425,1320,39153,Summit,{'39153':100},Summit,39153,FALSE,FALSE,America/New_York
44306,41.03938,-81.48317,Akron,OH,Ohio,TRUE,,21165,1047.8,39153,Summit,{'39153':100},Summit,39153,FALSE,FALSE,America/New_York
44307,41.07044,-81.54631,Akron,OH,Ohio,TRUE,,6751,1536.4,39153,Summit,{'39153':100},Summit,39153,FALSE,FALSE,America/New_York
44308,41.08166,-81.5171,Akron,OH,Ohio,TRUE,,943,1092.3,39153,Summit,{'39153':100},Summit,39153,FALSE,FALSE,America/New_York
44310,41.1066,-81.4971,Akron,OH,Ohio,TRUE,,26659,1465,39153,Summit,{'39153':100},Summit,39153,FALSE,FALSE,America/New_York
44311,41.06425,-81.52088,Akron,OH,Ohio,TRUE,,8447,1776.4,39153,Summit,{'39153':100},Summit,39153,FALSE,FALSE,America/New_York
44312,41.01546,-81.44078,Akron,OH,Ohio,TRUE,,31064,643.6,39153,Summit,"{'39133':0.12,'39153':99.88}",Summit|Portage,39153|39133,FALSE,FALSE,America/New_York
44313,41.1328,-81.56451,Akron,OH,Ohio,TRUE,,24580,698.5,39153,Summit,{'39153':100},Summit,39153,FALSE,FALSE,America/New_York
44314,41.04061,-81.55859,Akron,OH,Ohio,TRUE,,19113,1657.9,39153,Summit,{'39153':100},Summit,39153,FALSE,FALSE,America/New_York
44319,40.98304,-81.53161,Akron,OH,Ohio,TRUE,,22647,466.3,39153,Summit,{'39153':100},Summit,39153,FALSE,FALSE,America/New_York
44320,41.07835,-81.58335,Akron,OH,Ohio,TRUE,,19419,789.5,39153,Summit,{'39153':100},Summit,39153,FALSE,FALSE,America/New_York
44321,41.09888,-81.65132,Akron,OH,Ohio,TRUE,,15346,386.7,39153,Summit,"{'39103':0.38,'39153':99.63}",Summit|Medina,39153|39103,FALSE,FALSE,America/New_York
44333,41.16192,-81.63288,Akron,OH,Ohio,TRUE,,18778,259.9,39153,Summit,"{'39103':0.2,'39153':99.8}",Summit|Medina,39153|39103,FALSE,FALSE,America/New_York
44401,41.02261,-80.94516,Berlin Center,OH,Ohio,TRUE,,2903,34.7,39099,Mahoning,{'39099':100},Mahoning,39099,FALSE,FALSE,America/New_York
44402,41.38663,-80.85424,Bristolville,OH,Ohio,TRUE,,3228,35.8,39155,Trumbull,{'39155':100},Trumbull,39155,FALSE,FALSE,America/New_York
44403,41.24035,-80.58211,Brookfield,OH,Ohio,TRUE,,3904,103.7,39155,Trumbull,{'39155':100},Trumbull,39155,FALSE,FALSE,America/New_York
44404,41.32651,-80.54996,Burghill,OH,Ohio,TRUE,,1446,36.8,39155,Trumbull,{'39155':100},Trumbull,39155,FALSE,FALSE,America/New_York
44405,41.0777,-80.59189,Campbell,OH,Ohio,TRUE,,7969,903.3,39099,Mahoning,{'39099':100},Mahoning,39099,FALSE,FALSE,America/New_York
44406,41.01104,-80.77223,Canfield,OH,Ohio,TRUE,,21749,160.1,39099,Mahoning,{'39099':100},Mahoning,39099,FALSE,FALSE,America/New_York
44408,40.88616,-80.68652,Columbiana,OH,Ohio,TRUE,,10043,112,39029,Columbiana,"{'39029':78.7,'39099':21.3}",Columbiana|Mahoning,39029|39099,FALSE,FALSE,America/New_York
44410,41.34929,-80.72413,Cortland,OH,Ohio,TRUE,,16702,98.8,39155,Trumbull,{'39155':100},Trumbull,39155,FALSE,FALSE,America/New_York
44411,41.035,-81.04871,Deerfield,OH,Ohio,TRUE,,2328,47.2,39133,Portage,{'39133':100},Portage,39133,FALSE,FALSE,America/New_York
44412,41.09397,-81.02477,Diamond,OH,Ohio,TRUE,,2630,44.7,39133,Portage,"{'39099':16.07,'39133':83.93}",Portage|Mahoning,39133|39099,FALSE,FALSE,America/New_York
44413,40.84785,-80.55409,East Palestine,OH,Ohio,TRUE,,7371,118.2,39029,Columbiana,{'39029':100},Columbiana,39029,FALSE,FALSE,America/New_York
44417,41.43637,-80.66387,Farmdale,OH,Ohio,TRUE,,1736,19.2,39155,Trumbull,{'39155':100},Trumbull,39155,FALSE,FALSE,America/New_York
